price,title,rating,reviews,shipping
$179.99,"Victrix Pro BFG Wireless Gaming Controller for Playstation 5 / PS5 - Wired or Wireless Power, Mappable Back Buttons, Customizable Triggers/Paddles, App Support (PC)",3.9 out of 5 stars,500 ratings,$50.04 Shipping & Import Fees Deposit to South Africa
$499.00,PlayStation 5 Console (PS5),4.8 out of 5 stars,"5,868 ratings",$153.98 Shipping & Import Fees Deposit to South Africa
$98.00,PlayStation 5 Pulse 3D Wireless Headset,4.7 out of 5 stars,"20,199 ratings",$38.97 Shipping & Import Fees Deposit to South Africa
$489.00,PlayStation 5 Console CFI-1102A,4.9 out of 5 stars,"7,475 ratings","7,475 global ratings"
Page 1 of 1,PlayStation 5 Console (Renewed),4.0 out of 5 stars,13 ratings,13 global ratings
$22.95,"WC Freeze Ps5 V2 - Cooling Gel Earpads Compatible with Sony PS5 Pulse 3D Headphones by Wicked Cushions | Increased Ear Opening, Thickness, Comfort & Sound Isolation for Epic Gaming | Red camo",Previous page of related Sponsored Products,,$18.49 Shipping & Import Fees Deposit to South Africa
Page 1 of 1,PlayStation PS5 Console – God of War Ragnarök Bundle,4.8 out of 5 stars,"10,493 ratings","10,493 global ratings"
$24.99,"PS5 Controller Charger Station with Fast Charging AC Adapter 5V/3A, Dual Controller Charging Stand for Playstation 5, Docking Station Replacement for DualSense Charging Station",4.7 out of 5 stars,"14,670 ratings",$19.93 Shipping & Import Fees Deposit to South Africa
$27.99,"Vinyl Stickers for Playstation 5 Console and Controller Skins,Digital Version, Wrap Decal Cover Protective Accessories",4.3 out of 5 stars,17 ratings,$29.00 Shipping & Import Fees Deposit to South Africa
$74.00,PlayStation DualSense Wireless Controller - Starlight Blue,4.8 out of 5 stars,"77,187 ratings",$28.68 Shipping & Import Fees Deposit to South Africa
$19.99,"PS5 Cooling Fan with Led Light, Quiet PS5 Fan Cooling Fan HUIJUTCHEN PS5 Cooler Cooling Fan for Playstation 5 Fan with 3 Small Fans 3.0 USB Port 2 Fan Speed Setting Fan for PS5 Disc & Digital (Black)",5.0 out of 5 stars,2 ratings,$18.39 Shipping & Import Fees Deposit to South Africa
$79.99,"DEVASO Gaming Console Backpack for PS5 & PS VR2, Large Capacity Travel Carrying Case Storage Bag Compatible with PS5 Console, PS VR2, Controller, Headset, Game Accessories",Previous page of related Sponsored Products,,$84.56 Shipping & Import Fees Deposit to South Africa
$64.99,The Last of Us Part I – PlayStation 5,4.8 out of 5 stars,"1,264 ratings",$23.66 Shipping & Import Fees Deposit to South Africa
$599.99,PlayStation VR2 Horizon Call of The Mountain™ Bundle (PSVR2),4.3 out of 5 stars,93 ratings,$146.39 Shipping & Import Fees Deposit to South Africa
"$1,098.99",PlayStation 5 Console (PS5) + PlayStation VR2 Horizon Call of the Mountain™ Bundle (PSVR2),Previous page of related Sponsored Products,,
$50.00,$50 PlayStation Store Gift Card [Digital Code],4.7 out of 5 stars,"247,038 ratings","247,038 global ratings"
$79.99,Lords of the Fallen Deluxe Edition - PlayStation 5,Previous page of related Sponsored Products,,$26.27 Shipping & Import Fees Deposit to South Africa
$24.99,"FYOUNG Horizontal Hub USB Port Stand for PS5, Base Stand Compatible with Playstation 5 Disc & Digital Edition, Upgrade Accessories Stand Holder for PS5 Console-Black",Previous page of related Sponsored Products,,$19.29 Shipping & Import Fees Deposit to South Africa
$69.99,Mortal Kombat 1 - PlayStation5,Previous page of related Sponsored Products,,$24.84 Shipping & Import Fees Deposit to South Africa
$179.99,Sony PlayStation 2 Console - Black (Renewed),4.3 out of 5 stars,"1,213 ratings",$74.54 Shipping & Import Fees Deposit to South Africa
$169.99,PlayStation 2 Slim Console PS2 (Renewed),4.1 out of 5 stars,"1,022 ratings",$69.68 Shipping & Import Fees Deposit to South Africa
Page 1 of 1,"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",4.7 out of 5 stars,356 ratings,356 global ratings
$212.29,Playstation 2 Console - Black (Renewed),4.2 out of 5 stars,321 ratings,$69.80 Shipping & Import Fees Deposit to South Africa
$59.99,Lies of P - PlayStation 5,Previous page of related Sponsored Products,,$22.86 Shipping & Import Fees Deposit to South Africa
$24.95,"PS5 Console Controller Case, Dual DualSense Protective Hard Shell, Playstation 5 Two Controllers Travel Carrying Bag with Room for Cable Cord and Accessories (Black)",4.7 out of 5 stars,63 ratings,$26.00 Shipping & Import Fees Deposit to South Africa
$59.99,Sonic Superstars - PlayStation 5,Previous page of related Sponsored Products,,$23.12 Shipping & Import Fees Deposit to South Africa
